datetime,move,name,delta,time_delta,final_osum
2021-08-13 17:11:40,stop_buy100,Emerson Electric Company (EMR),0.003273637589062232,21:21:32.749505,89
2021-08-13 17:11:40,stop_buy100,Westinghouse Air Brake Technologies Corp (WAB),0.009537701974865444,21:21:32.756131,77
2021-08-13 17:11:40,stop_buy100,Charles Schwab Corp (SCHW),0.011277696696298377,20:12:26.614686,83
2021-08-13 17:11:40,stop_buy100,Ameriprise Financial Inc (AMP),0.005787121822577043,20:12:26.629307,96
2021-08-13 17:11:40,stop_buy100,Apple Inc (AAPL),-0.005125438359859663,19:57:46.601449,98
2021-08-13 17:11:40,stop_buy100,Capri Holdings Ltd (CPRI),0.01956593225912525,19:57:46.617078,78
2021-08-13 17:11:40,stop_buy100,Nasdaq Inc (NDAQ),-0.0035153995487695443,19:00:19.060421,99
2021-08-13 17:11:40,stop_buy100,NetApp Inc (NTAP),0.002291917973462146,19:00:19.076049,97
2021-08-13 17:11:40,stop_buy100,Huntington Bancshares Incorporated (HBAN),0.005235602094240842,19:00:19.091678,93
2021-08-13 17:11:40,stop_buy100,Vulcan Materials Company (VMC),0.0070253955037468474,19:00:19.107304,81
2021-08-13 17:11:40,stop_buy100,BlackRock Inc (BLK),0.0037743237216790056,19:00:19.107304,96
2021-08-13 17:11:41,stop_buy100,Microsoft Corporation (MSFT),-0.0021048273006452974,6:40:58.447366,99
2021-08-13 17:11:41,stop_buy100,Tapestry Inc (TPR),0.009395973154362457,6:40:58.462993,88
2021-08-13 17:11:41,stop_buy100,Align Technology Inc (ALGN),0.006063015604810629,6:40:58.491945,99
2021-08-13 17:11:41,stop_buy100,Celanese Corporation (CE),0.004544896204397375,6:40:58.500158,83
2021-08-13 17:11:41,stop_buy100,Realty Income Corp (O),-0.010150852953616223,6:40:58.515786,99
2021-08-13 17:11:41,stop_buy90,Goldman Sachs Group Inc (GS),-2.4249478636187272e-05,23:47:59.465289,87
2021-08-13 17:11:41,stop_buy90,SVB Financial Group (SIVB),0.025130345856594426,23:47:59.460869,66
2021-08-13 17:11:41,stop_buy90,Zions Bancorporation (ZION),0.005357142857142806,22:00:18.483364,88
2021-08-13 17:11:41,stop_buy90,Truist Financial Corp (TFC),0.00887826532354453,22:00:18.497989,87
2021-08-13 17:11:41,stop_buy90,Газпром ПАО (GAZP),0.00027327070879584655,21:21:33.011750,86
2021-08-13 17:11:41,stop_buy90,Bank of America Corp (BAC),0.010900473933649308,21:21:33.022750,76
2021-08-13 17:11:41,stop_buy90,Microchip Technology Inc (MCHP),0.005552984729292017,21:21:33.032752,85
2021-08-13 17:11:41,stop_buy90,Charles Schwab Corp (SCHW),0.008251264306627691,21:21:33.044069,83
2021-08-13 17:11:41,stop_buy90,Emerson Electric Company (EMR),0.003273637589062232,21:21:33.056070,89
2021-08-13 17:11:41,stop_buy90,Southern Company (SO),0.004867660480681369,21:21:33.071365,75
2021-08-13 17:11:41,stop_buy90,Tapestry Inc (TPR),0.006060606060605971,21:21:33.087364,88
2021-08-13 17:11:41,stop_buy90,Vulcan Materials Company (VMC),0.004538814691151943,21:21:33.104475,81
